Maturity,Coupon,Bid,Asked,Chg,Asked Yield
12/31/2018,1.375,101.5078,101.5234,-0.0703,0.84
12/31/2018,1.5,101.8672,101.8828,-0.0781,0.839
1/15/2019,1.125,100.8281,100.8438,-0.0547,0.833
1/31/2019,1.25,101.1563,101.1719,-0.0703,0.85
1/31/2019,1.5,101.875,101.8906,-0.0781,0.855
2/15/2019,2.75,105.5781,105.5938,-0.0938,0.866
2/15/2019,8.875,123.9688,123.9844,-0.125,0.804
2/28/2019,1.375,101.4688,101.4844,-0.0703,0.881
2/28/2019,1.5,101.8594,101.875,-0.0938,0.876
3/31/2019,1.5,101.875,101.8906,-0.0625,0.887
3/31/2019,1.625,102.2578,102.2734,-0.0781,0.888
4/30/2019,1.25,101.0859,101.1016,-0.0625,0.902
4/30/2019,1.625,102.2656,102.2813,-0.0625,0.904
5/15/2019,3.125,107.1484,107.1641,-0.0547,0.891
5/31/2019,1.125,100.6641,100.6797,-0.0547,0.916
5/31/2019,1.5,101.8594,101.875,-0.0625,0.922
6/30/2019,1,100.2109,100.2266,-0.0547,0.932
6/30/2019,1.625,102.2734,102.2891,-0.0625,0.937
7/31/2019,0.875,99.6797,99.6953,-0.0469,0.964
7/31/2019,1.625,102.2578,102.2734,-0.0625,0.958
8/15/2019,3.625,109.1797,109.1953,-0.0313,0.957
8/15/2019,8.125,124.7656,124.7813,-0.0781,0.939
8/31/2019,1,100.0547,100.0703,-0.0625,0.98
8/31/2019,1.625,102.2578,102.2734,-0.0625,0.972
9/30/2019,1,100,100.0156,-0.0703,0.996
9/30/2019,1.75,102.6797,102.6953,-0.0703,0.993
10/31/2019,1.25,100.9297,100.9453,-0.0234,0.99
10/31/2019,1.5,101.7734,101.7891,-0.0625,1.009
11/15/2019,3.375,108.7344,108.75,-0.0703,0.998
11/30/2019,1,99.8906,99.9063,-0.0703,1.025
11/30/2019,1.5,101.75,101.7656,-0.0859,1.025
12/31/2019,1.125,100.3203,100.3359,-0.0547,1.037
12/31/2019,1.625,102.2031,102.2188,-0.0625,1.041
1/31/2020,1.25,100.75,100.7656,-0.0547,1.053
1/31/2020,1.375,101.2344,101.25,-0.0547,1.053
2/15/2020,3.625,110.0469,110.0625,-0.0547,1.058
2/15/2020,8.5,129.25,129.2656,-0.0938,1.037
2/29/2020,1.25,100.6875,100.7031,-0.0547,1.072
2/29/2020,1.375,101.1875,101.2031,-0.0625,1.071
